A,a,B,b,C,c,D,d
0.43,0.57,0.59,0.41,0.55,0.45,0.57,0.43
0.48,0.52,0.65,0.35,0.59,0.41,0.61,0.39
0.54,0.46,0.62,0.38,0.62,0.38,0.61,0.39
0.57,0.43,0.65,0.35,0.6,0.4,0.61,0.39
0.6,0.4,0.69,0.31,0.62,0.38,0.6,0.4
0.6,0.4,0.63,0.37,0.65,0.35,0.62,0.38
0.62,0.38,0.57,0.43,0.67,0.33,0.59,0.41
0.59,0.41,0.56,0.44,0.68,0.32,0.61,0.39
0.63,0.37,0.57,0.43,0.74,0.26,0.66,0.34
0.67,0.33,0.57,0.43,0.72,0.28,0.68,0.32
0.72,0.28,0.54,0.46,0.71,0.29,0.68,0.32
0.77,0.23,0.53,0.47,0.77,0.23,0.74,0.26
0.75,0.25,0.51,0.49,0.78,0.22,0.73,0.27
0.77,0.23,0.53,0.47,0.81,0.19,0.71,0.29
0.76,0.24,0.49,0.51,0.83,0.17,0.71,0.29
0.78,0.22,0.46,0.54,0.81,0.19,0.71,0.29
0.79,0.21,0.51,0.49,0.79,0.21,0.73,0.27
0.78,0.22,0.54,0.46,0.79,0.21,0.78,0.22
0.85,0.15,0.53,0.47,0.79,0.21,0.77,0.23
0.82,0.18,0.54,0.46,0.78,0.22,0.77,0.23
0.88,0.12,0.53,0.47,0.79,0.21,0.78,0.22
0.85,0.15,0.59,0.41,0.78,0.22,0.82,0.18
0.83,0.17,0.54,0.46,0.78,0.22,0.81,0.19
0.85,0.15,0.54,0.46,0.75,0.25,0.81,0.19
0.86,0.14,0.54,0.46,0.73,0.27,0.86,0.14
0.87,0.13,0.53,0.47,0.72,0.28,0.87,0.13
0.85,0.15,0.51,0.49,0.77,0.23,0.89,0.11
0.88,0.12,0.51,0.49,0.76,0.24,0.91,0.09
0.87,0.13,0.51,0.49,0.78,0.22,0.88,0.12
0.87,0.13,0.54,0.46,0.83,0.17,0.88,0.12
0.89,0.11,0.56,0.44,0.84,0.16,0.84,0.16
0.89,0.11,0.57,0.43,0.85,0.15,0.87,0.13
0.89,0.11,0.55,0.45,0.84,0.16,0.86,0.14
0.89,0.11,0.51,0.49,0.87,0.13,0.88,0.12
0.88,0.12,0.54,0.46,0.88,0.12,0.9,0.1
0.87,0.13,0.55,0.45,0.84,0.16,0.9,0.1
0.85,0.15,0.57,0.43,0.84,0.16,0.9,0.1
0.89,0.11,0.59,0.41,0.9,0.1,0.9,0.1
0.9,0.1,0.59,0.41,0.89,0.11,0.9,0.1
0.9,0.1,0.59,0.41,0.91,0.09,0.89,0.11
0.89,0.11,0.58,0.42,0.91,0.09,0.89,0.11
0.87,0.13,0.53,0.47,0.89,0.11,0.93,0.07
0.88,0.12,0.51,0.49,0.91,0.09,0.93,0.07
0.87,0.13,0.53,0.47,0.92,0.08,0.91,0.09
0.91,0.09,0.52,0.48,0.91,0.09,0.91,0.09
0.94,0.06,0.53,0.47,0.92,0.08,0.91,0.09
0.95,0.05,0.53,0.47,0.9,0.1,0.91,0.09
0.97,0.03,0.52,0.48,0.91,0.09,0.9,0.1
0.93,0.07,0.52,0.48,0.95,0.05,0.92,0.08
0.95,0.05,0.54,0.46,0.94,0.06,0.93,0.07
